"Year","GJ","Population","ln_energy_pc"
1980-01-01,338483651.5,3417800,4.59547872505725
1981-01-01,327347491.3,3458050,4.55031742481344
1982-01-01,324395397.7,3488950,4.53236230367779
1983-01-01,311769904,3513650,4.48561004534184
1984-01-01,317185573.1,3534830,4.49682179902728
1985-01-01,324148744.4,3537090,4.51789814290592
1986-01-01,349069737,3541083,4.59083910916406
1987-01-01,346035098.8,3538755,4.5827652411601
1988-01-01,338259545.2,3522475,4.56464961848368
1989-01-01,356521559.7,3510000,4.62077867656481
1990-01-01,379028868.4,3515725,4.68036660921783
1991-01-01,394415250.4,3537550,4.71396989217863
1992-01-01,394357343.9,3561165,4.70716972394634
1993-01-01,411899903.9,3577982,4.74598141380251
1994-01-01,431078491.5,3592195,4.78752675210047
1995-01-01,441490199.6,3611645,4.80599247461099
1996-01-01,473312049.1,3641872,4.86725705906266
1997-01-01,501619669.1,3678975,4.91520802049448
1998-01-01,543043222.1,3717525,4.98413079119787
1999-01-01,586079128.7,3760480,5.04890820354381
2000-01-01,625321139.7,3812075,5.10009168098445
2001-01-01,650201488.7,3874605,5.12283857534472
2002-01-01,647311914,3940007,5.10164577110922
2003-01-01,641655257.9,4004605,5.07660622905982
2004-01-01,669279007.6,4080615,5.09995331255455
2005-01-01,696672524.6,4171975,5.11792591998139
2006-01-01,727737237.3,4290635,5.13350530463398
2007-01-01,717332966.1,4413647,5.09083878884828
2008-01-01,720078003.9,4497485,5.07584119324111
2009-01-01,650362841.4,4538890,4.96484793591489
2010-01-01,669066288.5,4562835,4.98793900029803
2011-01-01,613012821.9,4582385,4.89616624741202
2012-01-01,601369213.4,4602095,4.87269744309234
2013-01-01,600839123.1,4627322,4.86634891764056
2014-01-01,603311823.7,4662713,4.86283671605769
2015-01-01,632644273,4708040,4.900636608657
2016-01-01,665078014.4,4762595,4.93911166090179
2017-01-01,674283626.4,4813138,4.94230157082316
2018-01-01,695195813.7,4876547,4.95975616476911
